Data type,Annual Demographic Estimates : Subprovincial Areas,,Notes
Temporal coverage,2001-2020,,
Time detail,annual data at 1st July,,1
Vintage,14/01/2021,,
Age detail,no age disaggregation,,
Sex detail,persons,,
Rounding,No,,
Aggregated time series,No,,
Geographical coverage,Canada,,
Statistical geography,Canadian Standard Geographical Classification (SGC) 2016,,
Geographies,GEO_Level1: Province,,2; 3
,GEO_Level3: census subdivision,,
Source,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014201,,
Further information,https://www12.statcan.gc.ca/census-recensement/2016/geo/index-eng.cfm,,
Acknowledgements,"Adapted from Statistics Canada, Population estimates, July 1, by census subdivision, 2016 boundaries, 22/06/2021. This does not constitute an endorsement by Statistics Canada of this product.",,
Contributed by,"Irina Grossman, irina.grossman@unimelb.edu.au",,
,,,
External Variables,,,
MUNICIPALITY,GEO_Level1/Province name,,
CENSUS_SUBDIVISION,GEO_Level3/census subdivision name,,
CENSUS_SUBDIVISION_TYPE,See the Census subdivision type section at https://www12.statcan.gc.ca/census-recensement/2016/ref/dict/geo012-eng.cfm,,
STATUS,Indicates if time series is not available for a specific reference period.  See Definitions of field names and abbreviations below.  ,,
,,,
Definitions of field names and abbreviations ,,,
..,not available for a specific reference period,,
C , City / Cité,,
CC , Chartered community,,
CG , Community government,,
CN , Crown colony / Colonie de la couronne,,
COM , Community,,
CT , Canton (municipalité de),,
CU , Cantons unis (municipalité de),,
CV , City / Ville,,
CY , City,,
DM , District municipality,,
HAM , Hamlet,,
ID , Improvement district,,
IGD , Indian government district,,
IM , Island municipality,,
IRI , Indian reserve / Réserve indienne,,
LGD , Local government district,,
LOT , Township and royalty,,
M , Municipality / Municipalité,,
MD , Municipal district,,
MÉ , Municipalité,,
MU , Municipality,,
NH , Northern hamlet,,
NL , Nisga'a land,,
NO , Unorganized / Non organisé,,
NV , Northern village,,
P , Parish / Paroisse (municipalité de),,
PE , Paroisse (municipalité de),,
RCR , Rural community / Communauté rurale,,
RDA , Regional district electoral area,,
RGM , Regional municipality,,
RM , Rural municipality,,
RV , Resort village,,
S-É , Indian settlement / Établissement indien,,
SA , Special area,,
SC , Subdivision of county municipality / Subdivision municipalité de comté,,
SÉ , Settlement / Établissement,,
SET , Settlement,,
SG , Self-government / Autonomie gouvernementale,,
SM , Specialized municipality,,
SNO , Subdivision of unorganized / Subdivision non organisée,,
SV , Summer village,,
T , Town,,
TC , Terres réservées aux Cris,,
TI , Terre inuite,,
TK , Terres réservées aux Naskapis,,
TL , Teslin land,,
TP , Township,,
TV , Town / Ville,,
V , Ville,,
VC , Village cri,,
VK , Village naskapi,,
VL , Village,,
VN , Village nordique,,
,,,
Note ID,Note,,
1,"Population estimates as of July 1 are final intercensal up to 2015, final postcensal for 2016 to 2018, updated postcensal for 2019 and preliminary postcensal for 2020.",,
2,"We did not include GEO_Level2, which classifies  census subdivisions according to whether they have 5,000-plus populations or populations under 5,000.  This can be deduced from the presented data.",,
3,Census subdivisions classification information: https://www12.statcan.gc.ca/census-recensement/2016/ref/dict/geo012-eng.cfm,,
